Planta;Especie ;conteo 
Mastuerzo;Leptophobia aripa;341
Mastuerzo;phoebia philea;0
Mastuerzo;Papilo caudala;0
Mastuerzo;Ascalapha odorata;0
Mastuerzo;Danaus plexippus;0
Mastuerzo;Mimoide timbreos;0
acasia ;Leptophobia aripa;0
acasia ;phoebia philea;8
acasia ;Papilo caudala;0
acasia ;Ascalapha odorata;0
acasia ;Danaus plexippus;0
acasia ;Mimoide timbreos;0
Fresno;Leptophobia aripa;0
Fresno;phoebia philea;0
Fresno;Papilo caudala;4
Fresno;Ascalapha odorata;0
Fresno;Danaus plexippus;0
Fresno;Mimoide timbreos;0
Hinojo ;Leptophobia aripa;0
Hinojo ;phoebia philea;0
Hinojo ;Papilo caudala;0
Hinojo ;Ascalapha odorata;59
Hinojo ;Danaus plexippus;0
Hinojo ;Mimoide timbreos;0
Asclepia;Leptophobia aripa;0
Asclepia;phoebia philea;0
Asclepia;Papilo caudala;0
Asclepia;Ascalapha odorata;0
Asclepia;Danaus plexippus;5
Asclepia;Mimoide timbreos;0
Chrimaya;Leptophobia aripa;0
Chrimaya;phoebia philea;0
Chrimaya;Papilo caudala;0
Chrimaya;Ascalapha odorata;0
Chrimaya;Danaus plexippus;0
Chrimaya;Mimoide timbreos;3
